"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/admin/Documents/projects/food-investors-society/website-repo/join-us.html", "HTML", 282, 0, 0, 36, 13, 331
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/animation.js", "JavaScript", 0, 9, 0, 0, 2, 11
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/carousel_auto_scroll.js", "JavaScript", 0, 16, 0, 3, 4, 23
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/carousel_auto_scroll_home_page.js", "JavaScript", 0, 16, 0, 3, 4, 23
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/screenshot_switch.js", "JavaScript", 0, 15, 0, 0, 4, 19
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/script.js", "JavaScript", 0, 36, 0, 8, 12, 56
"/Users/admin/Documents/projects/food-investors-society/website-repo/my-foodX-community-my-neighbourhood.html", "HTML", 96, 0, 0, 22, 10, 128
"/Users/admin/Documents/projects/food-investors-society/website-repo/my-foodX-community.html", "HTML", 128, 0, 0, 36, 13, 177
"/Users/admin/Documents/projects/food-investors-society/website-repo/privacy_policy.html", "HTML", 95, 0, 0, 23, 10, 128
"/Users/admin/Documents/projects/food-investors-society/website-repo/the-app.html", "HTML", 552, 0, 0, 194, 82, 828
"Total", "-", 5573, 92, 3122, 1716, 902, 11405
