"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m1-individual-annual.html", "HTML", 347, 0, 0, 79, 59, 485
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m2-individual-lifetime.html", "HTML", 330, 0, 0, 78, 57, 465
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m3-volunteer.html", "HTML", 407, 0, 0, 81, 62, 550
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m4-affiliate-partner.html", "HTML", 421, 0, 0, 93, 70, 584
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m5-strategic-partner.html", "HTML", 430, 0, 0, 93, 70, 593
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m6-community-food-partner-non-profit.html", "HTML", 363, 0, 0, 90, 67, 520
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m7-community-food-partner-for-profit.html", "HTML", 431, 0, 0, 93, 70, 594
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-m8-share-owner.html", "HTML", 127, 0, 0, 28, 14, 169
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-supporter.html", "HTML", 133, 0, 0, 30, 13, 176
"/Users/admin/Documents/projects/food-investors-society/website-repo/about-us.html", "HTML", 177, 0, 0, 33, 14, 224
"/Users/admin/Documents/projects/food-investors-society/website-repo/business.html", "HTML", 92, 0, 0, 23, 11, 126
"/Users/admin/Documents/projects/food-investors-society/website-repo/contact-us.html", "HTML", 92, 0, 0, 23, 11, 126
"/Users/admin/Documents/projects/food-investors-society/website-repo/cook-cooking-hacks.html", "HTML", 93, 0, 0, 20, 11, 124
"/Users/admin/Documents/projects/food-investors-society/website-repo/cook-recipes.html", "HTML", 93, 0, 0, 20, 10, 123
"/Users/admin/Documents/projects/food-investors-society/website-repo/cook.html", "HTML", 156, 0, 0, 31, 19, 206
"/Users/admin/Documents/projects/food-investors-society/website-repo/cookies.html", "HTML", 92, 0, 0, 23, 11, 126
"/Users/admin/Documents/projects/food-investors-society/website-repo/create-account.html", "HTML", 47, 0, 0, 10, 5, 62
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/base/reset.css", "PostCSS", 0, 0, 12, 19, 5, 36
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/footer.css", "PostCSS", 0, 0, 38, 0, 6, 44
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/graphic.css", "PostCSS", 0, 0, 12, 0, 0, 12
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/hero.css", "PostCSS", 0, 0, 76, 1, 0, 77
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/nav.css", "PostCSS", 0, 0, 44, 5, 9, 58
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/newsletter.css", "PostCSS", 0, 0, 26, 0, 5, 31
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/page-wrapper.css", "PostCSS", 0, 0, 3, 0, 0, 3
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/problems-solutions.css", "PostCSS", 0, 0, 98, 8, 15, 121
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/social.css", "PostCSS", 0, 0, 68, 3, 8, 79
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/sticky-note.css", "PostCSS", 0, 0, 17, 0, 0, 17
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/components/subtext.css", "PostCSS", 0, 0, 15, 0, 2, 17
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/about-us.css", "PostCSS", 0, 0, 254, 7, 4, 265
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/app-features.css", "PostCSS", 0, 0, 20, 0, 0, 20
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/app.css", "PostCSS", 0, 0, 607, 52, 19, 678
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/business.css", "PostCSS", 0, 0, 32, 0, 5, 37
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/contact.css", "PostCSS", 0, 0, 38, 3, 4, 45
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/cook.css", "PostCSS", 0, 0, 275, 22, 3, 300
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/cookies.css", "PostCSS", 0, 0, 32, 0, 6, 38
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/donation.css", "PostCSS", 0, 0, 19, 2, 0, 21
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/home.css", "PostCSS", 0, 0, 380, 32, 8, 420
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/join.css", "PostCSS", 0, 0, 202, 13, 5, 220
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/my-foodx-community.css", "PostCSS", 0, 0, 270, 25, 3, 298
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/privacy-policy.css", "PostCSS", 0, 0, 32, 0, 5, 37
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/sign-form-memberships.css", "PostCSS", 0, 0, 264, 25, 3, 292
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/pages/supporter.css", "PostCSS", 0, 0, 3, 3, 0, 6
"/Users/admin/Documents/projects/food-investors-society/website-repo/css/styles.css", "PostCSS", 0, 0, 25, 24, 11, 60
"/Users/admin/Documents/projects/food-investors-society/website-repo/donation.html", "HTML", 86, 0, 0, 20, 9, 115
"/Users/admin/Documents/projects/food-investors-society/website-repo/foodX100.html", "HTML", 93, 0, 0, 22, 11, 126
"/Users/admin/Documents/projects/food-investors-society/website-repo/index.html", "HTML", 223, 0, 0, 45, 21, 289
"/Users/admin/Documents/projects/food-investors-society/website-repo/join-us.html", "HTML", 279, 0, 0, 36, 14, 329
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/animation.js", "JavaScript", 0, 9, 0, 0, 2, 11
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/carousel_auto_scroll.js", "JavaScript", 0, 9, 0, 2, 1, 12
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/screenshot_switch.js", "JavaScript", 0, 15, 0, 0, 4, 19
"/Users/admin/Documents/projects/food-investors-society/website-repo/js/script.js", "JavaScript", 0, 36, 0, 8, 12, 56
"/Users/admin/Documents/projects/food-investors-society/website-repo/log-in.html", "HTML", 52, 0, 0, 9, 5, 66
"/Users/admin/Documents/projects/food-investors-society/website-repo/my-foodX-community-my-groups.html", "HTML", 93, 0, 0, 20, 11, 124
"/Users/admin/Documents/projects/food-investors-society/website-repo/my-foodX-community-my-neighbourhood.html", "HTML", 93, 0, 0, 22, 11, 126
"/Users/admin/Documents/projects/food-investors-society/website-repo/my-foodX-community.html", "HTML", 175, 0, 0, 31, 21, 227
"/Users/admin/Documents/projects/food-investors-society/website-repo/privacy_policy.html", "HTML", 92, 0, 0, 23, 11, 126
"/Users/admin/Documents/projects/food-investors-society/website-repo/sign-up-supporter.html", "HTML", 33, 0, 0, 7, 4, 44
"/Users/admin/Documents/projects/food-investors-society/website-repo/the-app.html", "HTML", 552, 0, 0, 196, 82, 830
"Total", "-", 5602, 69, 2862, 1533, 919, 10985
